DESC,LINK,Type
 APIReference API_TagResource,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TagResource.html,code/API
 APIReference API_UntagResource,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UntagResource.html,code/API
 APIReference API_UpdateAccessLogSubscription,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateAccessLogSubscription.html,code/API
 APIReference API_UpdateListener,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateListener.html,code/API
 APIReference API_UpdateRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateRule.html,code/API
 APIReference API_UpdateService,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateService.html,code/API
 APIReference API_UpdateServiceNetwork,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateServiceNetwork.html,code/API
 APIReference API_UpdateServiceNetworkVpcAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateServiceNetworkVpcAssociation.html,code/API
 APIReference API_UpdateTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateTargetGroup.html,code/API
 APIReference API_Types,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Types.html,code/API
 APIReference API_AccessLogSubscriptionSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_AccessLogSubscriptionSummary.html,code/API
 APIReference API_DnsEntry,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DnsEntry.html,code/API
 APIReference API_FixedResponseAction,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_FixedResponseAction.html,code/API
 APIReference API_ForwardAction,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ForwardAction.html,code/API
 APIReference API_HeaderMatch,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_HeaderMatch.html,code/API
 APIReference API_HeaderMatchType,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_HeaderMatchType.html,code/API
 APIReference API_HealthCheckConfig,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_HealthCheckConfig.html,code/API
 APIReference API_HttpMatch,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_HttpMatch.html,code/API
 APIReference API_ListenerSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListenerSummary.html,code/API
 APIReference API_Matcher,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Matcher.html,code/API
 APIReference API_PathMatch,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_PathMatch.html,code/API
 APIReference API_PathMatchType,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_PathMatchType.html,code/API
 APIReference API_RuleAction,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleAction.html,code/API
 APIReference API_RuleMatch,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleMatch.html,code/API
 APIReference API_RuleSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleSummary.html,code/API
 APIReference API_RuleUpdate,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleUpdate.html,code/API
 APIReference API_RuleUpdateFailure,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleUpdateFailure.html,code/API
 APIReference API_RuleUpdateSuccess,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleUpdateSuccess.html,code/API
 APIReference API_ServiceNetworkServiceAssociationSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ServiceNetworkServiceAssociationSummary.html,code/API
 APIReference API_ServiceNetworkSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ServiceNetworkSummary.html,code/API
 APIReference API_ServiceNetworkVpcAssociationSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ServiceNetworkVpcAssociationSummary.html,code/API
 APIReference API_ServiceSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ServiceSummary.html,code/API
 APIReference API_Target,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Target.html,code/API
 APIReference API_TargetFailure,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TargetFailure.html,code/API
 APIReference API_TargetGroupConfig,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TargetGroupConfig.html,code/API
 APIReference API_TargetGroupSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TargetGroupSummary.html,code/API
 APIReference API_TargetSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TargetSummary.html,code/API
 APIReference API_ValidationExceptionField,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ValidationExceptionField.html,code/API
 APIReference API_WeightedTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_WeightedTargetGroup.html,code/API
 APIReference CommonParameters,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/CommonParameters.html,code/API
 APIReference CommonErrors,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/CommonErrors.html,code/API
 APIReference CommonErrors,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/CommonErrors.html,code/API
 userguide how-it-works,https://docs.aws.amazon.com/vpc/latest/userguide/how-it-works.html,text-based
 userguide vpc-getting-started,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-getting-started.html,text-based
 userguide vpc-ip-addressing,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-ip-addressing.html,text-based
 userguide vpc-cidr-blocks,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-cidr-blocks.html,text-based
 userguide subnet-sizing,https://docs.aws.amazon.com/vpc/latest/userguide/subnet-sizing.html,text-based
 userguide managed-prefix-lists,https://docs.aws.amazon.com/vpc/latest/userguide/managed-prefix-lists.html,text-based
 userguide working-with-managed-prefix-lists,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-managed-prefix-lists.html,text-based
 userguide working-with-aws-managed-prefix-lists,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-aws-managed-prefix-lists.html,text-based
 userguide sharing-managed-prefix-lists,https://docs.aws.amazon.com/vpc/latest/userguide/sharing-managed-prefix-lists.html,text-based
 userguide managed-prefix-lists-referencing,https://docs.aws.amazon.com/vpc/latest/userguide/managed-prefix-lists-referencing.html,text-based
 userguide aws-ip-ranges,https://docs.aws.amazon.com/vpc/latest/userguide/aws-ip-ranges.html,text-based
 userguide vpc-migrate-ipv6,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-migrate-ipv6.html,text-based
 userguide aws-ipv6-support,https://docs.aws.amazon.com/vpc/latest/userguide/aws-ipv6-support.html,text-based
 userguide configure-your-vpc,https://docs.aws.amazon.com/vpc/latest/userguide/configure-your-vpc.html,text-based
 userguide default-vpc,https://docs.aws.amazon.com/vpc/latest/userguide/default-vpc.html,text-based
 userguide create-vpc,https://docs.aws.amazon.com/vpc/latest/userguide/create-vpc.html,text-based
 userguide modify-vpcs,https://docs.aws.amazon.com/vpc/latest/userguide/modify-vpcs.html,text-based
 userguide VPC_DHCP_Options,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_DHCP_Options.html,text-based
 userguide DHCPOptionSetConcepts,https://docs.aws.amazon.com/vpc/latest/userguide/DHCPOptionSetConcepts.html,text-based
 userguide DHCPOptionSet,https://docs.aws.amazon.com/vpc/latest/userguide/DHCPOptionSet.html,text-based
 userguide vpc-dns,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-dns.html,text-based
 userguide network-address-usage,https://docs.aws.amazon.com/vpc/latest/userguide/network-address-usage.html,text-based
 userguide vpc-sharing,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-sharing.html,text-based
 userguide example-vpc-share,https://docs.aws.amazon.com/vpc/latest/userguide/example-vpc-share.html,text-based
 userguide Extend_VPCs,https://docs.aws.amazon.com/vpc/latest/userguide/Extend_VPCs.html,text-based
 userguide delete-vpc,https://docs.aws.amazon.com/vpc/latest/userguide/delete-vpc.html,text-based
 userguide configure-subnets,https://docs.aws.amazon.com/vpc/latest/userguide/configure-subnets.html,text-based
 userguide create-subnets,https://docs.aws.amazon.com/vpc/latest/userguide/create-subnets.html,text-based
 userguide modify-subnets,https://docs.aws.amazon.com/vpc/latest/userguide/modify-subnets.html,text-based
 userguide subnet-cidr-reservation,https://docs.aws.amazon.com/vpc/latest/userguide/subnet-cidr-reservation.html,text-based
 userguide VPC_Route_Tables,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html,text-based
 userguide route-table-options,https://docs.aws.amazon.com/vpc/latest/userguide/route-table-options.html,text-based
 userguide WorkWithRouteTables,https://docs.aws.amazon.com/vpc/latest/userguide/WorkWithRouteTables.html,text-based
 userguide middlebox-routing-console,https://docs.aws.amazon.com/vpc/latest/userguide/middlebox-routing-console.html,text-based
 userguide working-with-routing-console,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-routing-console.html,text-based
 userguide middlebox-routing-examples,https://docs.aws.amazon.com/vpc/latest/userguide/middlebox-routing-examples.html,text-based
 userguide internet-gateway-subnet,https://docs.aws.amazon.com/vpc/latest/userguide/internet-gateway-subnet.html,text-based
 userguide gwlb-route,https://docs.aws.amazon.com/vpc/latest/userguide/gwlb-route.html,text-based
 userguide intra-vpc-route,https://docs.aws.amazon.com/vpc/latest/userguide/intra-vpc-route.html,text-based
 userguide subnet-deleting,https://docs.aws.amazon.com/vpc/latest/userguide/subnet-deleting.html,text-based
 userguide extend-intro,https://docs.aws.amazon.com/vpc/latest/userguide/extend-intro.html,text-based
 userguide VPC_Internet_Gateway,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Internet_Gateway.html,text-based
 userguide egress-only-internet-gateway,https://docs.aws.amazon.com/vpc/latest/userguide/egress-only-internet-gateway.html,text-based
 userguide vpc-nat,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat.html,text-based
 userguide vpc-nat-gateway,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat-gateway.html,text-based
 userguide nat-gateway-scenarios,https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-scenarios.html,text-based
 userguide nat-gateway-nat64-dns64,https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-nat64-dns64.html,text-based
 userguide vpc-nat-gateway-cloudwatch,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat-gateway-cloudwatch.html,text-based
 userguide nat-gateway-troubleshooting,https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-troubleshooting.html,text-based
 userguide VPC_NAT_Instance,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_NAT_Instance.html,text-based
 userguide vpc-eips,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-eips.html,text-based
 userguide extend-tgw,https://docs.aws.amazon.com/vpc/latest/userguide/extend-tgw.html,text-based
 userguide vpn-connections,https://docs.aws.amazon.com/vpc/latest/userguide/vpn-connections.html,text-based
 userguide vpc-peering,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-peering.html,text-based
 userguide monitoring,https://docs.aws.amazon.com/vpc/latest/userguide/monitoring.html,text-based
 userguide flow-logs,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html,text-based
 userguide flow-logs-records-examples,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-records-examples.html,text-based
 userguide working-with-flow-logs,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-flow-logs.html,text-based
 userguide flow-logs-cwl,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-cwl.html,text-based
 userguide flow-logs-s3,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-s3.html,text-based
 userguide flow-logs-firehose,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-firehose.html,text-based
 userguide flow-logs-athena,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-athena.html,text-based
 userguide flow-logs-troubleshooting,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-troubleshooting.html,text-based
 userguide vpc-cloudwatch,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-cloudwatch.html,text-based
 userguide security,https://docs.aws.amazon.com/vpc/latest/userguide/security.html,text-based
 userguide data-protection,https://docs.aws.amazon.com/vpc/latest/userguide/data-protection.html,text-based
 userguide VPC_Security,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Security.html,text-based
 userguide security-iam,https://docs.aws.amazon.com/vpc/latest/userguide/security-iam.html,text-based
 userguide security_iam_service-with-iam,https://docs.aws.amazon.com/vpc/latest/userguide/security_iam_service-with-iam.html,text-based
 userguide vpc-policy-examples,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-policy-examples.html,text-based
 userguide security_iam_troubleshoot,https://docs.aws.amazon.com/vpc/latest/userguide/security_iam_troubleshoot.html,text-based
 userguide security-iam-awsmanpol,https://docs.aws.amazon.com/vpc/latest/userguide/security-iam-awsmanpol.html,text-based
 userguide infrastructure-security,https://docs.aws.amazon.com/vpc/latest/userguide/infrastructure-security.html,text-based
 userguide vpc-security-groups,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-security-groups.html,text-based
 userguide security-groups,https://docs.aws.amazon.com/vpc/latest/userguide/security-groups.html,text-based
 userguide security-group-rules,https://docs.aws.amazon.com/vpc/latest/userguide/security-group-rules.html,text-based
 userguide default-security-group,https://docs.aws.amazon.com/vpc/latest/userguide/default-security-group.html,text-based
 userguide vpc-network-acls,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html,text-based
 userguide disaster-recovery-resiliency,https://docs.aws.amazon.com/vpc/latest/userguide/disaster-recovery-resiliency.html,text-based
 userguide VPC-compliance,https://docs.aws.amazon.com/vpc/latest/userguide/VPC-compliance.html,text-based
 userguide vpc-security-best-practices,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-security-best-practices.html,text-based
 userguide related-services,https://docs.aws.amazon.com/vpc/latest/userguide/related-services.html,text-based
 userguide endpoint-services-overview,https://docs.aws.amazon.com/vpc/latest/userguide/endpoint-services-overview.html,text-based
 userguide network-firewall,https://docs.aws.amazon.com/vpc/latest/userguide/network-firewall.html,text-based
 userguide resolver-dns-firewall,https://docs.aws.amazon.com/vpc/latest/userguide/resolver-dns-firewall.html,text-based
 userguide vpc-examples-intro,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-examples-intro.html,text-based
 userguide vpc-example-dev-test,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-example-dev-test.html,text-based
 userguide vpc-example-web-database-servers,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-example-web-database-servers.html,text-based
 userguide vpc-example-private-subnets-nat,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-example-private-subnets-nat.html,text-based
 userguide amazon-vpc-limits,https://docs.aws.amazon.com/vpc/latest/userguide/amazon-vpc-limits.html,text-based
 userguide WhatsNew,https://docs.aws.amazon.com/vpc/latest/userguide/WhatsNew.html,text-based
 peering what-is-vpc-peering,https://docs.aws.amazon.com/vpc/latest/peering/what-is-vpc-peering.html,text-based
 peering vpc-peering-basics,https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-basics.html,text-based
 peering working-with-vpc-peering,https://docs.aws.amazon.com/vpc/latest/peering/working-with-vpc-peering.html,text-based
 peering create-vpc-peering-connection,https://docs.aws.amazon.com/vpc/latest/peering/create-vpc-peering-connection.html,text-based
 peering accept-vpc-peering-connection,https://docs.aws.amazon.com/vpc/latest/peering/accept-vpc-peering-connection.html,text-based
 peering reject-vpc-peering-connection,https://docs.aws.amazon.com/vpc/latest/peering/reject-vpc-peering-connection.html,text-based
 peering describe-vpc-peering-connections,https://docs.aws.amazon.com/vpc/latest/peering/describe-vpc-peering-connections.html,text-based
 peering vpc-peering-routing,https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-routing.html,text-based
 peering vpc-peering-security-groups,https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-security-groups.html,text-based
 peering modify-peering-connections,https://docs.aws.amazon.com/vpc/latest/peering/modify-peering-connections.html,text-based
 peering delete-vpc-peering-connection,https://docs.aws.amazon.com/vpc/latest/peering/delete-vpc-peering-connection.html,text-based
 peering troubleshoot-vpc-peering-connections,https://docs.aws.amazon.com/vpc/latest/peering/troubleshoot-vpc-peering-connections.html,text-based
 peering peering-configurations,https://docs.aws.amazon.com/vpc/latest/peering/peering-configurations.html,text-based
 peering peering-configurations-full-access,https://docs.aws.amazon.com/vpc/latest/peering/peering-configurations-full-access.html,text-based
 peering peering-configurations-partial-access,https://docs.aws.amazon.com/vpc/latest/peering/peering-configurations-partial-access.html,text-based
 peering peering-scenarios,https://docs.aws.amazon.com/vpc/latest/peering/peering-scenarios.html,text-based
 peering security-iam,https://docs.aws.amazon.com/vpc/latest/peering/security-iam.html,text-based
 peering vpc-peering-connection-quotas,https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-connection-quotas.html,text-based
 peering doc-history,https://docs.aws.amazon.com/vpc/latest/peering/doc-history.html,text-based
 mirroring what-is-traffic-mirroring,https://docs.aws.amazon.com/vpc/latest/mirroring/what-is-traffic-mirroring.html,text-based
 mirroring traffic-mirroring-how-it-works,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-how-it-works.html,text-based
 mirroring traffic-mirroring-targets,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-targets.html,text-based
 mirroring traffic-mirroring-sessions,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-sessions.html,text-based
 mirroring traffic-mirroring-connection,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-connection.html,text-based
 mirroring traffic-mirroring-packet-formats,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-packet-formats.html,text-based
 mirroring traffic-mirroring-getting-started,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-getting-started.html,text-based
 mirroring Traffic_Mirroring_Scenarios,https://docs.aws.amazon.com/vpc/latest/mirroring/Traffic_Mirroring_Scenarios.html,text-based
 mirroring tm-example-inbound-tcp,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-inbound-tcp.html,text-based
 mirroring tm-example-inbound-tcp-udp,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-inbound-tcp-udp.html,text-based
 mirroring tm-example-non-vpc,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-non-vpc.html,text-based
 mirroring tm-example-glb-endpoints,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-glb-endpoints.html,text-based
 mirroring working-with-traffic-mirroring,https://docs.aws.amazon.com/vpc/latest/mirroring/working-with-traffic-mirroring.html,text-based
 mirroring traffic-mirroring-target,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-target.html,text-based
 mirroring cross-account-traffic-mirroring-targets,https://docs.aws.amazon.com/vpc/latest/mirroring/cross-account-traffic-mirroring-targets.html,text-based
 mirroring traffic-mirroring-filter,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-filter.html,text-based
 mirroring traffic-mirroring-session,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-session.html,text-based
 mirroring tm-example-open-source,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-open-source.html,text-based
 mirroring traffic-mirror-cloudwatch,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirror-cloudwatch.html,text-based
 mirroring traffic-mirroring-limits,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-limits.html,text-based
 mirroring traffic-mirroring-security,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-security.html,text-based
 mirroring doc-history,https://docs.aws.amazon.com/vpc/latest/mirroring/doc-history.html,text-based
 APIReference API_AssociateDhcpOptions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AssociateDhcpOptions.html,code/API
 APIReference API_CreateDhcpOptions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateDhcpOptions.html,code/API
 APIReference API_DeleteDhcpOptions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteDhcpOptions.html,code/API
 APIReference API_DescribeDhcpOptions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeDhcpOptions.html,code/API
 APIReference API_AssignIpv6Addresses,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AssignIpv6Addresses.html,code/API
 APIReference API_AssignPrivateIpAddresses,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AssignPrivateIpAddresses.html,code/API
 APIReference API_AttachNetworkInterface,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AttachNetworkInterface.html,code/API
 APIReference API_CreateNetworkInterface,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateNetworkInterface.html,code/API
 APIReference API_CreateNetworkInterfacePermission,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateNetworkInterfacePermission.html,code/API
 APIReference API_DeleteNetworkInterface,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteNetworkInterface.html,code/API
 APIReference API_DeleteNetworkInterfacePermission,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteNetworkInterfacePermission.html,code/API
 APIReference API_DescribeNetworkInterfaceAttribute,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeNetworkInterfaceAttribute.html,code/API
 APIReference API_DescribeNetworkInterfacePermissions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeNetworkInterfacePermissions.html,code/API
 APIReference API_DescribeNetworkInterfaces,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeNetworkInterfaces.html,code/API
 APIReference API_DetachNetworkInterface,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DetachNetworkInterface.html,code/API
