DESC,LINK
 APIReference API_GetAuthPolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetAuthPolicy.html
 APIReference API_GetListener,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetListener.html
 APIReference API_GetResourcePolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetResourcePolicy.html
 APIReference API_GetRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetRule.html
 APIReference API_GetService,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetService.html
 APIReference API_GetServiceNetwork,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetServiceNetwork.html
 APIReference API_GetServiceNetworkServiceAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetServiceNetworkServiceAssociation.html
 APIReference API_GetServiceNetworkVpcAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetServiceNetworkVpcAssociation.html
 APIReference API_GetTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetTargetGroup.html
 APIReference API_ListAccessLogSubscriptions,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListAccessLogSubscriptions.html
 APIReference API_ListListeners,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListListeners.html
 APIReference API_ListRules,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListRules.html
 APIReference API_ListServiceNetworks,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListServiceNetworks.html
 APIReference API_ListServiceNetworkServiceAssociations,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListServiceNetworkServiceAssociations.html
 APIReference API_ListServiceNetworkVpcAssociations,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListServiceNetworkVpcAssociations.html
 APIReference API_ListServices,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListServices.html
 APIReference API_ListTagsForResource,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListTagsForResource.html
 APIReference API_ListTargetGroups,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListTargetGroups.html
 APIReference API_ListTargets,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListTargets.html
 APIReference API_PutAuthPolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_PutAuthPolicy.html
 APIReference API_PutResourcePolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_PutResourcePolicy.html
 APIReference API_RegisterTargets,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RegisterTargets.html
 APIReference API_TagResource,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TagResource.html
 APIReference API_UntagResource,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UntagResource.html
 APIReference API_UpdateAccessLogSubscription,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateAccessLogSubscription.html
 APIReference API_UpdateListener,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateListener.html
 APIReference API_UpdateRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateRule.html
 APIReference API_UpdateService,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateService.html
 APIReference API_UpdateServiceNetwork,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateServiceNetwork.html
 APIReference API_UpdateServiceNetworkVpcAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateServiceNetworkVpcAssociation.html
 APIReference API_UpdateTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_UpdateTargetGroup.html
 APIReference API_Types,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Types.html
 APIReference API_AccessLogSubscriptionSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_AccessLogSubscriptionSummary.html
 APIReference API_DnsEntry,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DnsEntry.html
 APIReference API_FixedResponseAction,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_FixedResponseAction.html
 APIReference API_ForwardAction,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ForwardAction.html
 APIReference API_HeaderMatch,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_HeaderMatch.html
 APIReference API_HeaderMatchType,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_HeaderMatchType.html
 APIReference API_HealthCheckConfig,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_HealthCheckConfig.html
 APIReference API_HttpMatch,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_HttpMatch.html
 APIReference API_ListenerSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListenerSummary.html
 APIReference API_Matcher,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Matcher.html
 APIReference API_PathMatch,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_PathMatch.html
 APIReference API_PathMatchType,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_PathMatchType.html
 APIReference API_RuleAction,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleAction.html
 APIReference API_RuleMatch,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleMatch.html
 APIReference API_RuleSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleSummary.html
 APIReference API_RuleUpdate,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleUpdate.html
 APIReference API_RuleUpdateFailure,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleUpdateFailure.html
 APIReference API_RuleUpdateSuccess,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RuleUpdateSuccess.html
 APIReference API_ServiceNetworkServiceAssociationSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ServiceNetworkServiceAssociationSummary.html
 APIReference API_ServiceNetworkSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ServiceNetworkSummary.html
 APIReference API_ServiceNetworkVpcAssociationSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ServiceNetworkVpcAssociationSummary.html
 APIReference API_ServiceSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ServiceSummary.html
 APIReference API_Target,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Target.html
 APIReference API_TargetFailure,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TargetFailure.html
 APIReference API_TargetGroupConfig,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TargetGroupConfig.html
 APIReference API_TargetGroupSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TargetGroupSummary.html
 APIReference API_TargetSummary,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_TargetSummary.html
 APIReference API_ValidationExceptionField,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ValidationExceptionField.html
 APIReference API_WeightedTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_WeightedTargetGroup.html
 APIReference CommonParameters,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/CommonParameters.html
 APIReference CommonErrors,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/CommonErrors.html
 APIReference CommonErrors,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/CommonErrors.html
 userguide how-it-works,https://docs.aws.amazon.com/vpc/latest/userguide/how-it-works.html
 userguide vpc-getting-started,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-getting-started.html
 userguide vpc-ip-addressing,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-ip-addressing.html
 userguide vpc-cidr-blocks,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-cidr-blocks.html
 userguide subnet-sizing,https://docs.aws.amazon.com/vpc/latest/userguide/subnet-sizing.html
 userguide managed-prefix-lists,https://docs.aws.amazon.com/vpc/latest/userguide/managed-prefix-lists.html
 userguide working-with-managed-prefix-lists,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-managed-prefix-lists.html
 userguide working-with-aws-managed-prefix-lists,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-aws-managed-prefix-lists.html
 userguide sharing-managed-prefix-lists,https://docs.aws.amazon.com/vpc/latest/userguide/sharing-managed-prefix-lists.html
 userguide managed-prefix-lists-referencing,https://docs.aws.amazon.com/vpc/latest/userguide/managed-prefix-lists-referencing.html
 userguide aws-ip-ranges,https://docs.aws.amazon.com/vpc/latest/userguide/aws-ip-ranges.html
 userguide vpc-migrate-ipv6,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-migrate-ipv6.html
 userguide aws-ipv6-support,https://docs.aws.amazon.com/vpc/latest/userguide/aws-ipv6-support.html
 userguide configure-your-vpc,https://docs.aws.amazon.com/vpc/latest/userguide/configure-your-vpc.html
 userguide default-vpc,https://docs.aws.amazon.com/vpc/latest/userguide/default-vpc.html
 userguide create-vpc,https://docs.aws.amazon.com/vpc/latest/userguide/create-vpc.html
 userguide modify-vpcs,https://docs.aws.amazon.com/vpc/latest/userguide/modify-vpcs.html
 userguide VPC_DHCP_Options,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_DHCP_Options.html
 userguide DHCPOptionSetConcepts,https://docs.aws.amazon.com/vpc/latest/userguide/DHCPOptionSetConcepts.html
 userguide DHCPOptionSet,https://docs.aws.amazon.com/vpc/latest/userguide/DHCPOptionSet.html
 userguide vpc-dns,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-dns.html
 userguide network-address-usage,https://docs.aws.amazon.com/vpc/latest/userguide/network-address-usage.html
 userguide vpc-sharing,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-sharing.html
 userguide example-vpc-share,https://docs.aws.amazon.com/vpc/latest/userguide/example-vpc-share.html
 userguide Extend_VPCs,https://docs.aws.amazon.com/vpc/latest/userguide/Extend_VPCs.html
 userguide delete-vpc,https://docs.aws.amazon.com/vpc/latest/userguide/delete-vpc.html
 userguide configure-subnets,https://docs.aws.amazon.com/vpc/latest/userguide/configure-subnets.html
 userguide create-subnets,https://docs.aws.amazon.com/vpc/latest/userguide/create-subnets.html
 userguide modify-subnets,https://docs.aws.amazon.com/vpc/latest/userguide/modify-subnets.html
 userguide subnet-cidr-reservation,https://docs.aws.amazon.com/vpc/latest/userguide/subnet-cidr-reservation.html
 userguide VPC_Route_Tables,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html
 userguide route-table-options,https://docs.aws.amazon.com/vpc/latest/userguide/route-table-options.html
 userguide WorkWithRouteTables,https://docs.aws.amazon.com/vpc/latest/userguide/WorkWithRouteTables.html
 userguide middlebox-routing-console,https://docs.aws.amazon.com/vpc/latest/userguide/middlebox-routing-console.html
 userguide working-with-routing-console,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-routing-console.html
 userguide middlebox-routing-examples,https://docs.aws.amazon.com/vpc/latest/userguide/middlebox-routing-examples.html
 userguide internet-gateway-subnet,https://docs.aws.amazon.com/vpc/latest/userguide/internet-gateway-subnet.html
 userguide gwlb-route,https://docs.aws.amazon.com/vpc/latest/userguide/gwlb-route.html
 userguide intra-vpc-route,https://docs.aws.amazon.com/vpc/latest/userguide/intra-vpc-route.html
 userguide subnet-deleting,https://docs.aws.amazon.com/vpc/latest/userguide/subnet-deleting.html
 userguide extend-intro,https://docs.aws.amazon.com/vpc/latest/userguide/extend-intro.html
 userguide VPC_Internet_Gateway,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Internet_Gateway.html
 userguide egress-only-internet-gateway,https://docs.aws.amazon.com/vpc/latest/userguide/egress-only-internet-gateway.html
 userguide vpc-nat,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat.html
 userguide vpc-nat-gateway,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat-gateway.html
 userguide nat-gateway-scenarios,https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-scenarios.html
 userguide nat-gateway-nat64-dns64,https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-nat64-dns64.html
 userguide vpc-nat-gateway-cloudwatch,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat-gateway-cloudwatch.html
 userguide nat-gateway-troubleshooting,https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-troubleshooting.html
 userguide VPC_NAT_Instance,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_NAT_Instance.html
 userguide vpc-eips,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-eips.html
 userguide extend-tgw,https://docs.aws.amazon.com/vpc/latest/userguide/extend-tgw.html
 userguide vpn-connections,https://docs.aws.amazon.com/vpc/latest/userguide/vpn-connections.html
 userguide vpc-peering,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-peering.html
 userguide monitoring,https://docs.aws.amazon.com/vpc/latest/userguide/monitoring.html
 userguide flow-logs,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html
 userguide flow-logs-records-examples,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-records-examples.html
 userguide working-with-flow-logs,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-flow-logs.html
 userguide flow-logs-cwl,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-cwl.html
 userguide flow-logs-s3,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-s3.html
 userguide flow-logs-firehose,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-firehose.html
 userguide flow-logs-athena,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-athena.html
 userguide flow-logs-troubleshooting,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs-troubleshooting.html
 userguide vpc-cloudwatch,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-cloudwatch.html
 userguide security,https://docs.aws.amazon.com/vpc/latest/userguide/security.html
 userguide data-protection,https://docs.aws.amazon.com/vpc/latest/userguide/data-protection.html
 userguide VPC_Security,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Security.html
 userguide security-iam,https://docs.aws.amazon.com/vpc/latest/userguide/security-iam.html
 userguide security_iam_service-with-iam,https://docs.aws.amazon.com/vpc/latest/userguide/security_iam_service-with-iam.html
 userguide vpc-policy-examples,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-policy-examples.html
 userguide security_iam_troubleshoot,https://docs.aws.amazon.com/vpc/latest/userguide/security_iam_troubleshoot.html
 userguide security-iam-awsmanpol,https://docs.aws.amazon.com/vpc/latest/userguide/security-iam-awsmanpol.html
 userguide infrastructure-security,https://docs.aws.amazon.com/vpc/latest/userguide/infrastructure-security.html
 userguide vpc-security-groups,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-security-groups.html
 userguide security-groups,https://docs.aws.amazon.com/vpc/latest/userguide/security-groups.html
 userguide security-group-rules,https://docs.aws.amazon.com/vpc/latest/userguide/security-group-rules.html
 userguide default-security-group,https://docs.aws.amazon.com/vpc/latest/userguide/default-security-group.html
 userguide vpc-network-acls,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html
 userguide disaster-recovery-resiliency,https://docs.aws.amazon.com/vpc/latest/userguide/disaster-recovery-resiliency.html
 userguide VPC-compliance,https://docs.aws.amazon.com/vpc/latest/userguide/VPC-compliance.html
 userguide vpc-security-best-practices,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-security-best-practices.html
 userguide related-services,https://docs.aws.amazon.com/vpc/latest/userguide/related-services.html
 userguide endpoint-services-overview,https://docs.aws.amazon.com/vpc/latest/userguide/endpoint-services-overview.html
 userguide network-firewall,https://docs.aws.amazon.com/vpc/latest/userguide/network-firewall.html
 userguide resolver-dns-firewall,https://docs.aws.amazon.com/vpc/latest/userguide/resolver-dns-firewall.html
 userguide vpc-examples-intro,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-examples-intro.html
 userguide vpc-example-dev-test,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-example-dev-test.html
 userguide vpc-example-web-database-servers,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-example-web-database-servers.html
 userguide vpc-example-private-subnets-nat,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-example-private-subnets-nat.html
 userguide amazon-vpc-limits,https://docs.aws.amazon.com/vpc/latest/userguide/amazon-vpc-limits.html
 userguide WhatsNew,https://docs.aws.amazon.com/vpc/latest/userguide/WhatsNew.html
 peering what-is-vpc-peering,https://docs.aws.amazon.com/vpc/latest/peering/what-is-vpc-peering.html
 peering vpc-peering-basics,https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-basics.html
 peering working-with-vpc-peering,https://docs.aws.amazon.com/vpc/latest/peering/working-with-vpc-peering.html
 peering create-vpc-peering-connection,https://docs.aws.amazon.com/vpc/latest/peering/create-vpc-peering-connection.html
 peering accept-vpc-peering-connection,https://docs.aws.amazon.com/vpc/latest/peering/accept-vpc-peering-connection.html
 peering reject-vpc-peering-connection,https://docs.aws.amazon.com/vpc/latest/peering/reject-vpc-peering-connection.html
 peering describe-vpc-peering-connections,https://docs.aws.amazon.com/vpc/latest/peering/describe-vpc-peering-connections.html
 peering vpc-peering-routing,https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-routing.html
 peering vpc-peering-security-groups,https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-security-groups.html
 peering modify-peering-connections,https://docs.aws.amazon.com/vpc/latest/peering/modify-peering-connections.html
 peering delete-vpc-peering-connection,https://docs.aws.amazon.com/vpc/latest/peering/delete-vpc-peering-connection.html
 peering troubleshoot-vpc-peering-connections,https://docs.aws.amazon.com/vpc/latest/peering/troubleshoot-vpc-peering-connections.html
 peering peering-configurations,https://docs.aws.amazon.com/vpc/latest/peering/peering-configurations.html
 peering peering-configurations-full-access,https://docs.aws.amazon.com/vpc/latest/peering/peering-configurations-full-access.html
 peering peering-configurations-partial-access,https://docs.aws.amazon.com/vpc/latest/peering/peering-configurations-partial-access.html
 peering peering-scenarios,https://docs.aws.amazon.com/vpc/latest/peering/peering-scenarios.html
 peering security-iam,https://docs.aws.amazon.com/vpc/latest/peering/security-iam.html
 peering vpc-peering-connection-quotas,https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-connection-quotas.html
 peering doc-history,https://docs.aws.amazon.com/vpc/latest/peering/doc-history.html
 mirroring what-is-traffic-mirroring,https://docs.aws.amazon.com/vpc/latest/mirroring/what-is-traffic-mirroring.html
 mirroring traffic-mirroring-how-it-works,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-how-it-works.html
 mirroring traffic-mirroring-targets,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-targets.html
 mirroring traffic-mirroring-sessions,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-sessions.html
 mirroring traffic-mirroring-connection,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-connection.html
 mirroring traffic-mirroring-packet-formats,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-packet-formats.html
 mirroring traffic-mirroring-getting-started,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-getting-started.html
 mirroring Traffic_Mirroring_Scenarios,https://docs.aws.amazon.com/vpc/latest/mirroring/Traffic_Mirroring_Scenarios.html
 mirroring tm-example-inbound-tcp,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-inbound-tcp.html
 mirroring tm-example-inbound-tcp-udp,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-inbound-tcp-udp.html
 mirroring tm-example-non-vpc,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-non-vpc.html
 mirroring tm-example-glb-endpoints,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-glb-endpoints.html
 mirroring working-with-traffic-mirroring,https://docs.aws.amazon.com/vpc/latest/mirroring/working-with-traffic-mirroring.html
 mirroring traffic-mirroring-target,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-target.html
 mirroring cross-account-traffic-mirroring-targets,https://docs.aws.amazon.com/vpc/latest/mirroring/cross-account-traffic-mirroring-targets.html
 mirroring traffic-mirroring-filter,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-filter.html
 mirroring traffic-mirroring-session,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-session.html
 mirroring tm-example-open-source,https://docs.aws.amazon.com/vpc/latest/mirroring/tm-example-open-source.html
 mirroring traffic-mirror-cloudwatch,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirror-cloudwatch.html
 mirroring traffic-mirroring-limits,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-limits.html
 mirroring traffic-mirroring-security,https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-security.html
 mirroring doc-history,https://docs.aws.amazon.com/vpc/latest/mirroring/doc-history.html
 APIReference API_AssociateDhcpOptions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AssociateDhcpOptions.html
 APIReference API_CreateDhcpOptions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateDhcpOptions.html
 APIReference API_DeleteDhcpOptions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteDhcpOptions.html
 APIReference API_DescribeDhcpOptions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeDhcpOptions.html
 APIReference API_AssignIpv6Addresses,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AssignIpv6Addresses.html
 APIReference API_AssignPrivateIpAddresses,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AssignPrivateIpAddresses.html
 APIReference API_AttachNetworkInterface,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AttachNetworkInterface.html
 APIReference API_CreateNetworkInterface,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateNetworkInterface.html
 APIReference API_CreateNetworkInterfacePermission,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateNetworkInterfacePermission.html
 APIReference API_DeleteNetworkInterface,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteNetworkInterface.html
 APIReference API_DeleteNetworkInterfacePermission,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteNetworkInterfacePermission.html
 APIReference API_DescribeNetworkInterfaceAttribute,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeNetworkInterfaceAttribute.html
 APIReference API_DescribeNetworkInterfacePermissions,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeNetworkInterfacePermissions.html
 APIReference API_DescribeNetworkInterfaces,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeNetworkInterfaces.html
 APIReference API_DetachNetworkInterface,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DetachNetworkInterface.html
 APIReference API_ModifyNetworkInterfaceAttribute,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_ModifyNetworkInterfaceAttribute.html
 APIReference API_ResetNetworkInterfaceAttribute,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_ResetNetworkInterfaceAttribute.html
 APIReference API_UnassignIpv6Addresses,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_UnassignIpv6Addresses.html
 APIReference API_UnassignPrivateIpAddresses,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_UnassignPrivateIpAddresses.html
 APIReference API_AttachInternetGateway,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AttachInternetGateway.html
 APIReference API_CreateEgressOnlyInternetGateway,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateEgressOnlyInternetGateway.html
 APIReference API_CreateInternetGateway,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateInternetGateway.html
 APIReference API_DeleteEgressOnlyInternetGateway,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteEgressOnlyInternetGateway.html
 APIReference API_DeleteInternetGateway,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteInternetGateway.html
 APIReference API_DescribeEgressOnlyInternetGateways,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeEgressOnlyInternetGateways.html
 APIReference API_DescribeInternetGateways,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeInternetGateways.html
 APIReference API_DetachInternetGateway,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DetachInternetGateway.html
 APIReference API_CreateManagedPrefixList,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_CreateManagedPrefixList.html
 APIReference API_DeleteManagedPrefixList,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DeleteManagedPrefixList.html
